,ilkid,firstname,lastname,position,firstseason,lastseason,h_feet,h_inches,weight,college,birthdate
0,ABDELAL01,Alaa,Abdelnaby,F,1990,1994,6.0,10.0,240.0,Duke,1968-06-24 00:00:00
1,ABDULKA01,Kareem,Abdul-jabbar,C,1969,1988,7.0,2.0,225.0,UCLA,1947-04-16 00:00:00
2,ABDULMA01,Mahmo,Abdul-rauf,G,1990,2000,6.0,1.0,162.0,LSU,1969-03-09 00:00:00
3,ABDULTA01,Tariq,Abdul-wahad,G,1997,2002,6.0,6.0,223.0,Michigan,1974-11-03 00:00:00
4,ABDURSH01,Shareef,Abdur-rahim,F,1996,2004,6.0,9.0,225.0,California,1976-12-11 00:00:00
5,ABERNTO01,Tom,Abernethy,F,1976,1980,6.0,7.0,220.0,Indiana,1954-05-06 00:00:00
6,ABLEFO01,Forest,Able,G,1956,1956,6.0,3.0,180.0,Western Kentucky,1932-07-27 00:00:00
7,ABRAMJO01,John,Abramovic,F,1946,1947,6.0,3.0,195.0,Salem,1919-02-09 00:00:00
8,ACKERDO01,Donald,Ackerman,G,1953,1953,6.0,0.0,183.0,LIU,1930-09-04 00:00:00
9,ACRESMA01,Mark,Acres,C,1987,1992,6.0,11.0,220.0,Oral Roberts,1962-11-15 00:00:00
10,ACTONCH01,Charles,Acton,F,1967,1967,6.0,6.0,210.0,Hillsdale (MI),1942-01-11 00:00:00
11,ADAMSAL01,Alvan,Adams,C,1975,1987,6.0,9.0,210.0,Oklahoma,1954-07-19 00:00:00
12,ADAMSDO01,Don,Adams,F,1970,1976,6.0,6.0,210.0,Northwestern,1947-11-27 00:00:00
13,ADAMSGE01,George,Adams,F,1972,1974,6.0,5.0,210.0,Gardner-Webb,1949-05-15 00:00:00
14,ADAMSMI01,Michael,Adams,G,1985,1995,5.0,10.0,162.0,Boston College,1963-01-19 00:00:00
15,ADDISRA01,Rafael,Addison,F,1986,1996,6.0,7.0,215.0,Syracuse,1964-07-22 00:00:00
16,ADELMRI01,Rick,Adelman,G,1968,1974,6.0,1.0,175.0,Loyola (CA),1946-06-16 00:00:00
17,AGUIRMA01,Mark,Aguirre,F,1981,1993,6.0,6.0,232.0,DePaul,1959-12-10 00:00:00
18,AINGEDA01,Danny,Ainge,G,1981,1994,6.0,4.0,175.0,Brigham Young,1959-03-17 00:00:00
19,AITCHMA01,Matt,Aitch,F,1967,1967,6.0,7.0,230.0,Michigan State,1944-09-21 00:00:00
20,AKINHE01,Henry,Akin,C,1966,1968,6.0,10.0,225.0,Morehead State,1944-07-31 00:00:00
21,ALARIMA01,Mark,Alarie,F,1986,1990,6.0,8.0,217.0,Duke,1963-12-11 00:00:00
22,ALCORGA01,Gary,Alcorn,C,1959,1960,6.0,9.0,225.0,Fresno State,1936-10-08 00:00:00
23,ALEKSCH01,Chuck,Aleksinas,C,1984,1984,6.0,11.0,260.0,Connecticut,1959-02-26 00:00:00
24,ALEXACO01,Cory,Alexander,G,1995,2004,6.0,1.0,185.0,Virginia,1973-06-22 00:00:00
