,team,location,name,leag
0,ANA,Anaheim,Amigos,A
1,AND,Anderson,Duffey Packers,N
2,ATL,Atlanta,Hawks,N
3,BA1,Baltimore,Bullets,N
4,BAL,Baltimore,Bullets,N
5,BOS,Boston,Celtics,N
6,BUF,Buffalo,Braves,N
7,CAP,Capital,Bullets,N
8,CAR,Carolina,Cougars,A
9,CH1,Chicago,Stags,N
10,CH2,Chicago,Zephyrs,N
11,CHA,Charlotte,Hornets,N
12,CHI,Chicago,Bulls,N
13,CHR,Charlotte,Bobcats,N
14,CIN,Cincinnati,Royals,N
15,CL1,Cleveland,Rebels,N
16,CLE,Cleveland,Cavaliers,N
17,DAL,Dallas,Mavericks,N
18,DE1,Detroit,Falcons,N
19,DEN,Denver,Rockets,A
20,DEN,Denver,Nuggets,N
21,DET,Detroit,Pistons,N
22,DLC,Dallas,Chaparrals,A
23,DN1,Denver,Nuggets,N
25,FTW,Fort Wayne,Zollner Pistons,N
26,GSW,Golden State,Warriors,N
27,HMV,Houston,Mavericks,A
28,HOU,Houston,Rockets,N
29,IND,Indiana,Pacers,A
30,IND,Indiana,Pacers,N
31,INI,Indianapolis,Olympians,N
32,INJ,Indianapolis,Jets,N
33,KCK,Kansas City,Kings,N
34,KEN,Kentucky,Colonels,A
35,LAC,Los Angeles,Clippers,N
36,LAL,Los Angeles,Lakers,N
37,LAS,Los Angeles,Stars,A
38,MEM,Memphis,Grizzlies,N
39,MFL,Miami,Floridians,A
40,MI1,Milwaukee,Hawks,N
41,MIA,Miami,Heat,N
42,MIE,Minneapolis,Lakers,N
43,MIL,Milwaukee,Bucks,N
44,MIN,Minnesota,Timberwolves,N
45,MMP,Memphis,Pros,A
46,MMS,Memphis,Sounds,A
47,MMT,Memphis,Tams,A
48,MNM,Minnesota,Muskies,A
49,MNP,Minnesota,Pipers,A
50,NJA,New Jersey,Americans,A
51,NJN,New Jersey,Nets,N
52,NOB,New Orleans,Buccaneers,A
53,NOH,New Orleans,Hornets,N
54,NOJ,New Orleans,Jazz,N
55,NYK,New York,Knicks,N
56,NYN,New York,Nets,A
57,NYN,New York,Nets,N
58,OAK,Oakland,Oaks,A
59,ORL,Orlando,Magic,N
60,PH1,Philadelphia,Warriors,N
61,PHI,Philadelphia,76ers,N
62,PHO,Phoenix,Suns,N
63,PIT,Pittsburgh,Ironmen,N
64,POR,Portland,Trailblazers,N
65,PRO,Providence,Steamrollers,N
66,PTC,Pittsburgh,Pipers,A
67,PTP,Pittsburgh,Pipers,A
68,ROC,Rochester,Royals,N
69,SAC,Sacramento,Kings,N
70,SAS,San Antonio,Spurs,A
71,SAS,San Antonio,Spurs,N
72,SDC,San Diego,Clippers,N
73,SDQ,San Diego,Conquistadors,A
74,SDR,San Diego,Rockets,N
75,SDS,San Diego,Sails,A
76,SEA,Seattle,Supersonics,N
77,SFW,San Francisco,Warriors,N
78,SHE,Sheboygan,Redskins,N
79,ST1,St. Louis,Bombers,N
80,STL,St. Louis,Spirits,A
81,STL,St. Louis,Hawks,N
82,SYR,Syracuse,Nationals,N
83,TEX,Texas,Chaparrals,A
84,TO1,Toronto,Huskies,N
85,TOR,Toronto,Raptors,N
86,TRI,Tri-Cities,Blackhawks,N
87,UTA,Utah,Jazz,N
88,UTS,Utah,Stars,A
89,VAN,Vancouver,Grizzlies,N
90,VIR,Virginia,Squires,A
91,WA1,Washington,Bullets,N
92,WAC,Washington,Caps,A
93,WAS,Washington,Wizards,N
94,WAT,Waterloo,Hawks,N
95,WSC,Washington,Capitols,N
